stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:StopPlaceEntrance:50170928,,r. des Templiers (Coté Balizy),,2.317821339986842,48.685219521756565,,,2,IDFM:62667,,,0,
IDFM:StopPlaceEntrance:50170929,,r. des Templiers (Coté Gravigny),,2.317997341065515,48.68526550289522,,,2,IDFM:62667,,,0,
IDFM:StopPlaceEntrance:50170926,,r. des Templiers,,2.317482687575225,48.685145624879254,,,2,IDFM:62667,,,0,
IDFM:StopPlaceEntrance:50170927,,r. des Templiers,,2.3182673727970062,48.68539297536347,,,2,IDFM:62667,,,0,
IDFM:StopPlaceEntrance:50170448,,Entrée / Sortie,,2.316657505984815,48.6869578661414,,,2,IDFM:62667,,,0,
IDFM:StopPlaceEntrance:50170585,,pl. de la Gare,,1.9208809045457127,48.74376112611025,,,2,IDFM:63369,,,0,
IDFM:StopPlaceEntrance:50170086,,av. de la Gare,,1.9212853188296473,48.743935684795446,,,2,IDFM:63369,,,0,
IDFM:StopPlaceEntrance:50170106,,av. de la Gare,,1.9211388974990782,48.743781447682736,,,2,IDFM:63369,,,0,
IDFM:StopPlaceEntrance:50170813,,r. de la Gare,,1.921466924589152,48.74370345701768,,,2,IDFM:63369,,,0,
IDFM:StopPlaceEntrance:50170652,,pl. de Verdun,,1.9367374548667537,49.162582165931866,,,2,IDFM:67352,,,0,
IDFM:StopPlaceEntrance:50170653,,pl. de Verdun,,1.9367609946790358,49.162771193454915,,,2,IDFM:67352,,,0,
IDFM:StopPlaceEntrance:50171264,,r. Pasteur,,2.2674029509866873,48.591567263337026,,,2,IDFM:60115,,,0,
IDFM:StopPlaceEntrance:50170815,,r. de la Gare,,2.2673991768481665,48.591837109363446,,,2,IDFM:60115,,,0,
IDFM:StopPlaceEntrance:50170816,,r. de la Gare,,2.267564027557254,48.59168519797194,,,2,IDFM:60115,,,0,
IDFM:StopPlaceEntrance:50170850,,r. de la Station / r. E. Guinard,,2.0766087502309722,48.868234027405514,,,2,IDFM:73603,,,0,
IDFM:StopPlaceEntrance:50171263,,r. Pasteur,,2.076898506402044,48.86803840047862,,,2,IDFM:73603,,,0,
IDFM:StopPlaceEntrance:50170313,,Entrée / Sortie,,1.6025536236032796,48.79587942516207,,,2,IDFM:63893,,,0,
IDFM:StopPlaceEntrance:50170479,,Parking route de Gressey,,1.6022182883783957,48.79619932717932,,,2,IDFM:63893,,,0,
